title,url
Qualifying as EG for the first time,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/4008-
Which FFP for me? Master Discussion,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/1514-
#SQMelbourneTram,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/357283-sqmelbournetram
Advice sought - Changing redemption bookings,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/357091-advice-sought-changing-redemption-bookings
First Savers SYD-SIN,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/356912-first-savers-syd-sin
Waitlist on Redemption booking,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/356272-waitlist-on-redemption-booking
request to cancel miles (FQTV and FQTS),http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/356685-request-to-cancel-miles-fqtv-and-fqts
Redemption requirements up 10%,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/356321-redemption-requirements-up-10
Missing Krisflyer Miles for PPS and PPS Solitaire,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15610-
Mixed SQ/ Star Alliance Award,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15606-
Contact Centre Unable to See Seats That Are Available,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15605-
F Advantage LHR to SYD return help,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15598-
No saver fares outside a few months time,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15602-
Downgrading from accidental Solitaire PPS status,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15596-
First Class Saver from Australia?,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15575-
Solitaire Benefits Are Coming Back - Slowly,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15591-
Solitaire PPS Qualification,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15569-
Krisflyer finally allows family pooling,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15567-
Why are hotel loyalty programs more restrictive than airlines’?,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15551-
Unlock Status Credits without Flying,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15549-
New PPS Cards coming ?,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15211-
Singapore Airlines KrisFlyer Status Extensions Due To Coronavirus Outbreak,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15449-
New Rubber KrisFlyer Luggage Tag Holders,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15514-
Lifetime travel stats?,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15487-
Solitaire Qualification,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15455-
Mix miles with cash - credit to another FFP?,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15459-
Enhancements to KF redemption waitlist process,http://www.sqtalk.com/forum/forum/singapore-airlines/krisflyer-pps-club/15329-
